symbol,from_date,to_date
ACC,2016-04-01,2017-09-29
ADANIENT,2022-09-30,
ADANIPORTS,2016-04-01,
AMBUJACEM,2016-04-01,2018-04-02
APOLLOHOSP,2022-03-31,
ASIANPAINT,2016-04-01,
AUROPHARMA,2016-04-01,2018-04-02
AXISBANK,2016-04-01,
BAJAJ-AUTO,2016-04-01,
BAJAJFINSV,2018-04-02,
BAJFINANCE,2017-09-29,
BANKBARODA,2016-04-01,2017-09-29
BEL,2024-09-30,
BHARTIARTL,2016-04-01,
BHEL,2016-04-01,2017-03-31
BOSCHLTD,2016-04-01,2018-04-02
BPCL,2016-04-01,2025-03-28
BRITANNIA,2019-03-29,2025-03-28
BSE,2026-09-30,
CIPLA,2016-04-01,
COALINDIA,2016-04-01,
DIVISLAB,2020-09-25,2024-09-30
DRREDDY,2016-04-01,
EICHERMOT,2016-04-01,
ETERNAL,2025-03-28,
GAIL,2016-04-01,2021-03-31
GRASIM,2016-04-01,2017-05-26
GRASIM,2018-04-02,
HCLTECH,2016-04-01,
HDFC,2016-04-01,2023-07-13
HDFCBANK,2016-04-01,
HDFCLIFE,2020-07-31,
HEROMOTOCO,2016-04-01,2025-09-30
HINDALCO,2016-04-01,
HINDPETRO,2017-09-29,2019-03-29
HINDUNILVR,2016-04-01,
ICICIBANK,2016-04-01,
IDEA,2016-04-01,2017-03-31
INDIGO,2025-09-30,
INDUSINDBK,2016-04-01,2025-09-30
INDUSTOWER,2016-04-01,2020-09-25
INFY,2016-04-01,
IOC,2017-03-31,2022-03-31
ITC,2016-04-01,
JIOFIN,2025-03-28,
JSWSTEEL,2018-09-28,
KOTAKBANK,2016-04-01,
LT,2016-04-01,
LTM,2023-07-13,2024-09-30
LUPIN,2016-04-01,2018-09-28
M&M,2016-04-01,
MARUTI,2016-04-01,
MAXHEALTH,2025-09-30,
NESTLEIND,2019-09-27,
NTPC,2016-04-01,
ONGC,2016-04-01,
POWERGRID,2016-04-01,
RELIANCE,2016-04-01,
SAMMAANCAP,2017-03-31,2019-09-27
SBILIFE,2020-09-25,
SBIN,2016-04-01,
SHREECEM,2020-03-19,2022-09-30
SHRIRAMFIN,2024-03-28,
SUNPHARMA,2016-04-01,
TATACONSUM,2021-03-31,
TATAPOWER,2016-04-01,2017-09-29
TATASTEEL,2016-04-01,
TCS,2016-04-01,
TECHM,2016-04-01,
TITAN,2018-04-02,
TMPV,2016-04-01,
TRENT,2024-09-30,
ULTRACEMCO,2016-04-01,
UPL,2017-09-29,2024-03-28
VEDL,2017-05-26,2020-07-31
WIPRO,2016-04-01,2026-09-30
YESBANK,2016-04-01,2020-03-19
ZEEL,2016-04-01,2020-09-25
